panel,u2,u3,T_star
CRRA,-2.47695,1.09195,-0.770013
CRRA,-2.46092,1.09193,-0.737989
CRRA,-2.44489,1.09191,-0.705967
CRRA,-2.42886,1.09188,-0.673949
CRRA,-2.41283,1.09186,-0.641933
CRRA,-2.39679,1.09183,-0.609921
CRRA,-2.38076,1.09181,-0.577912
CRRA,-2.36473,1.09178,-0.545907
CRRA,-2.3487,1.09174,-0.513905
CRRA,-2.33267,1.09171,-0.481908
CRRA,-2.31663,1.09168,-0.449915
CRRA,-2.3006,1.09164,-0.417927
CRRA,-2.28457,1.0916,-0.385944
CRRA,-2.26854,1.09155,-0.353967
CRRA,-2.25251,1.09151,-0.321995
CRRA,-2.23647,1.09146,-0.290029
CRRA,-2.22044,1.09141,-0.25807
CRRA,-2.20441,1.09135,-0.226117
CRRA,-2.18838,1.09129,-0.194172
CRRA,-2.17234,1.09123,-0.162235
CRRA,-2.15631,1.09116,-0.130306
CRRA,-2.14028,1.09109,-0.0983859
CRRA,-2.12425,1.09101,-0.0664754
CRRA,-2.10822,1.09093,-0.0345751
CRRA,-2.09218,1.09084,-0.00268556
CRRA,-2.07615,1.09075,0.0291925
CRRA,-2.06012,1.09065,0.0610583
CRRA,-2.04409,1.09054,0.0929111
CRRA,-2.02806,1.09043,0.12475
CRRA,-2.01202,1.09031,0.156574
CRRA,-1.99599,1.09018,0.188382
CRRA,-1.97996,1.09005,0.220174
CRRA,-1.96393,1.0899,0.251947
CRRA,-1.9479,1.08975,0.283702
CRRA,-1.93186,1.08958,0.315436
CRRA,-1.91583,1.08941,0.347149
CRRA,-1.8998,1.08922,0.378838
CRRA,-1.88377,1.08902,0.410503
CRRA,-1.86774,1.08881,0.442142
CRRA,-1.8517,1.08858,0.473754
CRRA,-1.83567,1.08834,0.505335
CRRA,-1.81964,1.08808,0.536886
CRRA,-1.80361,1.08781,0.568403
CRRA,-1.78758,1.08752,0.599884
CRRA,-1.77154,1.08721,0.631327
CRRA,-1.75551,1.08688,0.66273
CRRA,-1.73948,1.08652,0.694091
CRRA,-1.72345,1.08615,0.725406
CRRA,-1.70741,1.08575,0.756672
CRRA,-1.69138,1.08533,0.787887
CRRA,-1.67535,1.08487,0.819047
CRRA,-1.65932,1.08439,0.85015
CRRA,-1.64329,1.08388,0.88119
CRRA,-1.62725,1.08334,0.912165
CRRA,-1.61122,1.08276,0.943071
CRRA,-1.59519,1.08214,0.973903
CRRA,-1.57916,1.08149,1.00466
CRRA,-1.56313,1.08079,1.03533
CRRA,-1.54709,1.08005,1.06591
CRRA,-1.53106,1.07926,1.0964
CRRA,-1.51503,1.07842,1.12679
CRRA,-1.499,1.07753,1.15707
CRRA,-1.48297,1.07659,1.18725
CRRA,-1.46693,1.07559,1.21731
CRRA,-1.4509,1.07452,1.24724
CRRA,-1.43487,1.07339,1.27704
CRRA,-1.41884,1.07219,1.30671
CRRA,-1.40281,1.07092,1.33622
CRRA,-1.38677,1.06957,1.36558
CRRA,-1.37074,1.06813,1.39478
CRRA,-1.35471,1.06662,1.42381
CRRA,-1.33868,1.06501,1.45266
CRRA,-1.32265,1.0633,1.48132
CRRA,-1.30661,1.0615,1.50977
CRRA,-1.29058,1.05959,1.53802
CRRA,-1.27455,1.05757,1.56604
CRRA,-1.25852,1.05543,1.59384
CRRA,-1.24248,1.05318,1.62139
CRRA,-1.22645,1.05079,1.64868
CRRA,-1.21042,1.04828,1.67571
CRRA,-1.19439,1.04562,1.70246
CRRA,-1.17836,1.04282,1.72892
CRRA,-1.16232,1.03986,1.75508
CRRA,-1.14629,1.03675,1.78092
CRRA,-1.13026,1.03348,1.80643
CRRA,-1.11423,1.03003,1.83161
CRRA,-1.0982,1.02641,1.85643
CRRA,-1.08216,1.0226,1.88088
CRRA,-1.06613,1.01861,1.90496
CRRA,-1.0501,1.01442,1.92864
CRRA,-1.03407,1.01003,1.95192
CRRA,-1.01804,1.00543,1.97479
CRRA,-1.002,1.00062,1.99723
CRRA,-0.985972,0.995586,2.01923
CRRA,-0.96994,0.99033,2.04078
CRRA,-0.953908,0.984846,2.06188
CRRA,-0.937876,0.979128,2.0825
