tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
4.469999999999969,4.469999999999969,4.469999999999969,3.0,3.0,3.0,NK,1,30.25,2.330e-02,2.330e-02,2.407805e-01,0.6345007338,0.64380123,0.65442227,0.64382158,-0.010621,0,warm
4.4799999999999685,4.4799999999999685,4.4799999999999685,3.0,3.0,3.0,NK,1,30.22,3.635e-03,3.635e-03,1.262087e-01,0.6225630980,0.62997262,0.63906198,0.63012743,-0.009089,0,warm
4.489999999999968,4.489999999999968,4.489999999999968,3.0,3.0,3.0,NK,1,30.54,1.285e-03,1.285e-03,1.250394e-01,0.6224136247,0.62984813,0.63901830,0.62994650,-0.009170,1,warm
4.509999999999968,4.509999999999968,4.509999999999968,3.0,3.0,3.0,NK,1,29.29,8.121e-03,8.121e-03,1.572867e-01,0.6227997259,0.63069959,0.63843230,0.63061808,-0.007733,0,warm
4.519999999999968,4.519999999999968,4.519999999999968,3.0,3.0,3.0,NK,1,22.53,5.192e-03,5.192e-03,1.609428e-01,0.6220103805,0.62963550,0.63898500,0.62960113,-0.009350,0,warm
4.529999999999967,4.529999999999967,4.529999999999967,3.0,3.0,3.0,NK,1,29.49,3.156e-03,3.156e-03,1.291316e-01,0.6215598614,0.62918676,0.63882433,0.62930346,-0.009638,0,warm
4.539999999999967,4.539999999999967,4.539999999999967,3.0,3.0,3.0,NK,1,28.17,1.487e-03,1.487e-03,1.422729e-01,0.6210840030,0.62886309,0.63850795,0.62888471,-0.009645,1,warm
4.559999999999967,4.559999999999967,4.559999999999967,3.0,3.0,3.0,NK,1,28.97,1.187e-02,1.187e-02,2.033702e-01,0.2800063561,0.27379851,0.26718208,0.26128496,0.006616,0,warm
4.5699999999999665,4.5699999999999665,4.5699999999999665,3.0,3.0,3.0,NK,1,31.66,3.521e-03,3.521e-03,1.383674e-01,0.6209036404,0.62871981,0.63877897,0.62883080,-0.010059,0,warm
4.579999999999966,4.579999999999966,4.579999999999966,3.0,3.0,3.0,NK,1,30.73,2.104e-03,2.104e-03,1.004205e-01,0.6208711339,0.62872523,0.63883338,0.62883904,-0.010108,1,warm
4.589999999999966,4.589999999999966,4.589999999999966,3.0,3.0,3.0,NK,1,30.46,1.886e-03,1.886e-03,1.192960e-01,0.6206953104,0.62859787,0.63880189,0.62870981,-0.010204,1,warm
