seed_index,family,amplitude,iterations,stage1_converged,residual_inf,nearest_known,distance_to_fr,distance_to_nonfr,revelation_deficit
76,near_nonfr,1.1600068652874762e-13,120,False,1.8690109078456363e-07,non-FR,0.00011282160040887446,5.877991155657514e-05,5.320310858536459e-11
77,near_nonfr,3.541734308080752e-12,120,False,1.8634535645101202e-07,non-FR,0.00011282860046024634,5.8745852687946964e-05,5.3214765927123153e-11
78,near_nonfr,4.822449864439649e-13,120,False,1.8690126686593533e-07,non-FR,0.00011282161919484723,5.877982469014442e-05,5.320399676378429e-11
79,near_nonfr,7.132265620407314e-10,120,False,1.3022325125178202e-07,non-FR,0.00011107336904736531,6.507550551985986e-05,4.948708109964173e-11
80,near_nonfr,1.5805772991824947e-10,84,True,9.66795318246838e-08,non-FR,0.00011258565401434106,6.267004071940085e-05,4.710631884563554e-11
81,near_nonfr,1.905529287484911e-12,120,False,1.8689997956233828e-07,non-FR,0.00011282150283603576,5.878048100392552e-05,5.320310858536459e-11
82,near_nonfr,2.1553387508262516e-10,87,True,9.187273612709657e-08,non-FR,0.00011095956534018514,6.685050954347016e-05,4.8361536997276744e-11
83,near_nonfr,9.7675532088021e-13,120,False,1.8056749553907459e-07,non-FR,0.00011280808841995782,5.885165593225161e-05,5.314615414420132e-11
84,near_nonfr,1.0731316825545408e-13,120,False,1.8690085819283997e-07,non-FR,0.00011282158556208399,5.878002387875447e-05,5.320355267457444e-11
85,near_nonfr,6.570025349182414e-11,91,True,9.325935046433642e-08,non-FR,0.00011071098650489164,6.713056141111062e-05,4.9620640929504134e-11
86,near_nonfr,3.3428381174932705e-14,120,False,1.8689946953975856e-07,non-FR,0.0001128214572499453,5.878073153936514e-05,5.3202886540759664e-11
87,near_nonfr,1.0123181789440163e-11,120,False,1.3223347787583162e-07,non-FR,0.00011253393689952818,5.9934375095535564e-05,5.246658663082826e-11
88,near_nonfr,6.903034022305394e-14,120,False,1.8690018945000109e-07,non-FR,0.00011282152153396785,5.878036485003346e-05,5.3202997563062127e-11
89,near_nonfr,2.976800679543261e-14,120,False,1.869005633453602e-07,non-FR,0.00011282155134828553,5.878018545275865e-05,5.320310858536459e-11
90,near_nonfr,1.0782268981618276e-11,120,False,1.761440796554936e-07,non-FR,0.00011261785249905287,5.956853454405775e-05,5.2587711962814865e-11
91,near_nonfr,2.7805674566426206e-10,92,True,9.462096228762817e-08,non-FR,0.00011092864306144756,6.633219745820484e-05,5.087963383942906e-11
92,near_nonfr,2.6638882792794154e-12,120,False,1.8689315907371995e-07,non-FR,0.00011282086711578154,5.8783929471104e-05,5.319955587168579e-11
93,near_nonfr,1.0615311324061839e-12,120,False,1.4862166528017973e-07,non-FR,0.00011235398412090536,6.0552839519195656e-05,5.197453578631439e-11
94,near_nonfr,2.514795807893406e-11,120,False,1.8402080170787372e-07,non-FR,0.00011282327898037847,5.8788457417219275e-05,5.3183013548618874e-11
95,near_nonfr,2.5225909075785824e-09,118,True,9.819775793895591e-08,non-FR,0.00011004416175058873,7.055176277125097e-05,4.684852505931758e-11
96,near_nonfr,1.7634249531243634e-10,92,True,9.764543408563586e-08,non-FR,0.00011168539410921774,6.270509396062718e-05,5.3430704305412746e-11
97,near_nonfr,3.565433500435767e-12,120,False,1.863480279529206e-07,non-FR,0.00011282880648860738,5.874453001639135e-05,5.321587615014778e-11
98,near_nonfr,1.5599193299519025e-10,78,True,9.395731327688228e-08,non-FR,0.00011127449614811713,6.536336705521839e-05,4.9020010273181924e-11
99,near_nonfr,6.709720430362656e-14,120,False,1.869013873390113e-07,non-FR,0.00011282162804981954,5.877975377127642e-05,5.3203774719179364e-11
